       361      1.00   1117.80 co       total
cross section:
lambda=2.a-72.5a  henry, r. j. w. and mcelroy, m. b. (1968)
   photoelectrons in planetary atmospheres, in the atmospheres of venus and
   mars, j. c. brandt and m. b. mcelroy, eds. gordon breach science
publishers.
   inc., new york, london, paris
lambda=89.6a-564.5a  masuoka, t. and samson, j. a. r. (1980)
   j. chem. phys. 74, 1093
lambda=584.3a-1037.6a  cairns, r. b. and samson, j. a. r. (1965)
   j. geophys. res. 70, 99
lambda=600.a-1002.5a  cook, g. r., metzger, p. h. and ogawa, m. (1965)
   can. j. phys. 43, 1706
threshold:
lambda=1117.8a  krupenie, p. h. (1966)
   the band spectrum of carbon monoxide, nsrds-nbs 5
   (dissociation wavelength)

    381.40  9.20e-01
    390.00  9.29e-01
    405.40  9.40e-01
    410.00  9.40e-01
    415.90  9.40e-01
    436.70  9.40e-01
    442.20  9.40e-01
    447.00  9.40e-01
    449.70  9.40e-01
    457.50  9.40e-01
    459.30  9.46e-01
    462.00  9.40e-01
    465.40  9.46e-01
    471.50  9.50e-01
    475.30  9.49e-01
    479.40  9.50e-01
    486.60  9.55e-01
    491.70  9.57e-01
    495.90  9.58e-01
    500.20  9.58e-01
    508.50  9.60e-01
    514.00  9.68e-01
    519.40  9.69e-01
    526.50  9.70e-01
    538.50  9.80e-01
    544.70  9.80e-01
    548.90  9.88e-01
    551.40  9.90e-01
    555.50  1.00e+00
    558.50  1.00e+00
    564.50  1.00e+00
    584.30  9.67e-01
    599.60  9.69e-01
    600.00  9.09e-01
    608.40  9.78e-01
    610.00  9.23e-01
    617.00  9.69e-01
    620.00  9.29e-01
    624.60  9.78e-01
    625.10  9.78e-01
    625.90  9.82e-01
    629.70  9.82e-01
    630.00  9.00e-01
    638.50  7.28e-01
    639.00  6.86e-01
    641.20  6.90e-01
    642.40  7.97e-01
    643.00  9.40e-01
    645.60  6.62e-01
    647.50  7.34e-01
    650.00  9.09e-01
    653.50  7.42e-01
    654.40  6.16e-01
    655.00  8.52e-01
    656.00  8.48e-01
    657.80  6.94e-01
    660.00  9.09e-01
    663.70  6.74e-01
    664.70  6.89e-01
    668.00  8.00e-01
    670.50  5.40e-01
    672.20  5.00e-01
    675.00  6.53e-01
    676.00  8.82e-01
    680.00  8.30e-01
    681.00  5.31e-01
    682.70  5.67e-01
    687.00  7.48e-01
    691.00  6.83e-01
    692.50  7.72e-01
    700.00  6.64e-01
    705.00  6.91e-01
    706.50  7.95e-01
    708.00  7.56e-01
    710.00  7.28e-01
    712.00  6.80e-01
    713.50  7.48e-01
    716.50  7.05e-01
    717.00  7.94e-01
    719.00  7.63e-01
    721.00  6.48e-01
    723.00  5.91e-01
    724.00  5.61e-01
    725.90  6.32e-01
    727.00  5.49e-01
    727.50  5.27e-01
    729.50  5.88e-01
    730.20  6.53e-01
    732.00  5.44e-01
    732.50  5.28e-01
    733.20  5.00e-01
    734.00  5.28e-01
    737.30  5.85e-01
    738.30  5.74e-01
    739.50  5.82e-01
    740.40  5.94e-01
    741.50  4.41e-01
    744.50  5.27e-01
    745.20  5.19e-01
    746.20  5.42e-01
    747.20  4.89e-01
    748.30  5.25e-01
    749.20  4.53e-01
    749.50  4.54e-01
    749.90  4.81e-01
    751.20  4.90e-01
    752.00  6.00e-01
    753.00  4.43e-01
    754.50  5.61e-01
    755.20  4.60e-01
    756.10  4.16e-01
    757.20  3.96e-01
    758.50  3.99e-01
    758.70  5.71e-01
    759.00  4.78e-01
    759.40  6.50e-01
    760.30  5.58e-01
    760.40  6.40e-01
    760.70  5.33e-01
    761.10  7.49e-01
    762.00  6.12e-01
    763.00  3.77e-01
    763.30  6.80e-01
    763.80  3.10e-01
    764.10  3.73e-01
    764.40  5.58e-01
    765.10  5.10e-01
    766.50  4.27e-01
    767.00  4.07e-01
    767.50  4.08e-01
    767.80  4.47e-01
    770.00  7.27e-01
    771.10  5.43e-01
    771.60  6.37e-01
    772.50  4.41e-01
    773.10  4.66e-01
    773.40  4.36e-01
    774.20  4.68e-01
    774.50  5.60e-01
    774.60  4.06e-01
    775.20  3.52e-01
    776.40  6.71e-01
    778.00  7.03e-01
    779.50  6.91e-01
    780.00  6.69e-01
    780.50  6.52e-01
    781.70  4.52e-01
    782.10  3.69e-01
    782.80  3.76e-01
    784.40  5.41e-01
    785.00  5.48e-01
    786.10  6.86e-01
    787.70  6.70e-01
    789.00  3.72e-01
    790.20  7.40e-01
    790.60  6.00e-01
    791.50  4.25e-01
    793.20  5.71e-01
    794.00  4.90e-01
    795.10  6.84e-01
    795.60  6.17e-01
    796.00  5.97e-01
    796.80  4.97e-01
    797.30  3.84e-01
    798.00  2.51e-01
    799.00  6.12e-01
    799.70  6.42e-01
    800.70  5.00e-01
    803.00  7.36e-01
    804.70  5.33e-01
    805.30  4.19e-01
    806.20  5.13e-01
    807.10  3.20e-01
    808.50  5.69e-01
    810.20  6.26e-01
    811.00  5.41e-01
    813.00  8.29e-01
    814.40  5.28e-01
    816.40  6.78e-01
    817.00  5.91e-01
    818.00  2.58e-01
    818.50  5.64e-01
    819.80  7.35e-01
    821.00  7.03e-01
    821.50  6.74e-01
    823.00  9.19e-01
    824.50  4.48e-01
    825.40  6.64e-01
    826.40  7.03e-01
    827.00  8.05e-01
    827.80  5.54e-01
    829.00  8.93e-01
    829.90  6.84e-01
    830.80  7.49e-01
    832.40  8.19e-01
    833.50  9.30e-01
    833.70  8.80e-01
    834.50  9.20e-01
    835.20  9.43e-01
    836.20  7.36e-01
    838.50  8.75e-01
    840.00  9.86e-01
    841.20  8.07e-01
    843.00  8.88e-01
    844.00  8.70e-01
    845.00  9.36e-01
    845.70  9.04e-01
    846.30  9.32e-01
    846.80  9.70e-01
    848.00  8.34e-01
    848.50  7.56e-01
    849.00  8.23e-01
    851.00  6.41e-01
    851.90  6.72e-01
    852.30  6.79e-01
    852.70  6.81e-01
    853.60  7.28e-01
    854.20  7.54e-01
    856.20  6.52e-01
    857.20  7.45e-01
    858.00  8.66e-01
    858.30  9.07e-01
    859.00  8.86e-01
    860.00  7.50e-01
    860.20  6.38e-01
    861.20  7.99e-01
    863.00  5.67e-01
    863.50  6.16e-01
    864.60  6.50e-01
    865.50  5.20e-01
    866.50  5.77e-01
    867.00  5.44e-01
    867.70  6.93e-01
    869.00  6.21e-01
    870.00  7.36e-01
    870.70  7.38e-01
    871.50  6.67e-01
    872.30  7.13e-01
    873.50  5.98e-01
    874.00  6.52e-01
    875.00  8.04e-01
    876.00  5.99e-01
    877.00  5.06e-01
    877.50  5.52e-01
    878.30  5.10e-01
    880.00  7.16e-01
    880.90  5.92e-01
    881.20  5.55e-01
    884.00  5.66e-01
    884.50  7.78e-01
    884.79  0.00e 00
   1117.80  0.00e 00
        59      0.00    554.70 co       cio       6 40
branching ratio:
lambda=89.6a-551.4a  masuoka, t. and samson, j. a. r. (1980)
   j. chem. phys. 74, 1093
lambda=304.a-584.a  kronebusch, p. l. and berkowitz, j. (1976)
